name	version	license	source
libm	0.2.16	MIT	registry+https://github.com/rust-lang/crates.io-index
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
lock_api	0.4.14	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
log	0.4.32	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
md-5	0.10.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
memchr	2.8.1	Unlicense OR MIT	registry+https://github.com/rust-lang/crates.io-index
memoffset	0.9.1	MIT	registry+https://github.com/rust-lang/crates.io-index
minimal-lexical	0.2.1	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
nix	0.31.3	MIT	registry+https://github.com/rust-lang/crates.io-index
nkeys	0.4.5	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
nom	7.1.3	MIT	registry+https://github.com/rust-lang/crates.io-index
ntapi	0.4.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
num-bigint	0.4.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-complex	0.4.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-conv	0.2.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-integer	0.1.46	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
num-traits	0.2.19	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
oid-registry	0.8.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
once_cell	1.21.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
opaque-debug	0.3.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
oracledb	0.7.3	MIT OR Apache-2.0	local
oracledb-derive	0.7.3	MIT OR Apache-2.0	local
oracledb-protocol	0.7.3	MIT OR Apache-2.0	local
parking	2.2.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
parking_lot	0.12.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
parking_lot_core	0.9.12	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
pbkdf2	0.12.2	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
pem-rfc7468	0.7.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pin-project	1.1.13	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pin-project-internal	1.1.13	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pin-project-lite	0.2.17	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
pkcs8	0.10.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
polling	3.11.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
poly1305	0.8.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
polyval	0.6.2	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
powerfmt	0.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ppv-lite86	0.2.21	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prettyplease	0.2.37	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
proc-macro-crate	3.5.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
proc-macro2	1.0.106	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost	0.14.4	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
prost-derive	0.14.4	Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
ptr_meta	0.1.4	MIT	registry+https://github.com/rust-lang/crates.io-index
ptr_meta_derive	0.1.4	MIT	registry+https://github.com/rust-lang/crates.io-index
quote	1.0.45	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
r-efi	5.3.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	registry+https://github.com/rust-lang/crates.io-index
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	registry+https://github.com/rust-lang/crates.io-index
radium	0.7.0	MIT	registry+https://github.com/rust-lang/crates.io-index
rand	0.8.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_chacha	0.3.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rand_core	0.6.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rayon	1.12.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rayon-core	1.13.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
redox_syscall	0.5.18	MIT	registry+https://github.com/rust-lang/crates.io-index
rend	0.4.2	MIT	registry+https://github.com/rust-lang/crates.io-index
ring	0.17.14	Apache-2.0 AND ISC	registry+https://github.com/rust-lang/crates.io-index
rkyv	0.7.46	MIT	registry+https://github.com/rust-lang/crates.io-index
rkyv_derive	0.7.46	MIT	registry+https://github.com/rust-lang/crates.io-index
rmp	0.8.15	MIT	registry+https://github.com/rust-lang/crates.io-index
rmp-serde	1.3.1	MIT	registry+https://github.com/rust-lang/crates.io-index
rust_decimal	1.42.1	MIT	registry+https://github.com/rust-lang/crates.io-index
rustc_version	0.4.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rusticata-macros	4.1.0	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustls	0.23.40	Apache-2.0 OR ISC OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustls-pemfile	2.2.0	Apache-2.0 OR ISC OR MIT	registry+https://github.com/rust-lang/crates.io-index
rustls-pki-types	1.14.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
rustls-webpki	0.103.13	ISC	registry+https://github.com/rust-lang/crates.io-index
rustversion	1.0.22	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
scopeguard	1.2.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
seahash	4.1.0	MIT	registry+https://github.com/rust-lang/crates.io-index
semver	1.0.28	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde	1.0.228	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_core	1.0.228	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_derive	1.0.228	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
serde_json	1.0.150	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sha1	0.10.6	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sha1	0.11.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sha2	0.10.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
sha2	0.11.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
shlex	2.0.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
signal-hook	0.4.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
signal-hook-registry	1.4.8	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
signatory	0.27.1	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
signature	2.2.0	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
simdutf8	0.1.5	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
slab	0.4.12	MIT	registry+https://github.com/rust-lang/crates.io-index
smallvec	1.15.1	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
socket2	0.6.4	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
spki	0.7.3	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
subtle	2.6.1	BSD-3-Clause	registry+https://github.com/rust-lang/crates.io-index
syn	1.0.109	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
syn	2.0.117	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
synstructure	0.13.2	MIT	registry+https://github.com/rust-lang/crates.io-index
sysinfo	0.33.1	MIT	registry+https://github.com/rust-lang/crates.io-index
tap	1.0.1	MIT	registry+https://github.com/rust-lang/crates.io-index
tempfile	3.27.0	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror	2.0.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
thiserror-impl	2.0.18	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
time	0.3.49	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
time-core	0.1.9	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
time-macros	0.2.29	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index
tiny-keccak	2.0.2	CC0-1.0	registry+https://github.com/rust-lang/crates.io-index
tinyvec	1.11.0	Zlib OR Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index
tinyvec_macros	0.1.1	MIT OR Apache-2.0 OR Zlib	registry+https://github.com/rust-lang/crates.io-index
